StudentID,Name,Gender,AttendanceRate,StudyHoursPerWeek,PreviousGrade,ExtracurricularActivities,ParentalSupport,FinalGrade,Study_Hours,Attendance_Pct,Online_Classes_Taken
1996,Manuel Baker,Female,70.0,8.0,85.0,1.0,Low,80.0,0.4,55.0,False
3430,Jessica Lamb,Male,78.0,18.0,86.0,2.0,Low,90.0,-5.0,200.0,False
8433,Jaime Nguyen,Female,90.0,20.0,70.0,3.0,Medium,78.0,4.4,76.0,False
2099,Christina Thompson,Male,90.0,20.0,60.0,2.0,Low,90.0,4.1,85.0,True
6400,Shari Harrell,Male,70.0,17.0,60.0,1.0,Medium,88.0,1.6,56.0,True
3535,Tracy Gibbs,Female,92.0,20.0,88.0,2.0,Medium,87.0,3.8,86.0,True
8030,David Hoffman,Male,91.0,17.0,78.0,0.0,Medium,85.0,4.6,72.0,True
3972,Robert Davis,Male,91.0,8.0,85.0,0.0,Low,80.0,0.5,83.0,True
7163,Patricia Greer,Female,85.0,30.0,78.0,1.0,Medium,90.0,3.9,86.0,True
1861,James Stewart,Male,78.0,22.0,78.0,2.0,Medium,78.0,3.3,81.0,False
7785,Brent Mendoza,Female,92.0,12.0,85.0,1.0,Medium,87.0,1.4,93.0,False
9633,Dawn Taylor,Female,85.0,25.0,60.0,3.0,High,80.0,1.0,63.0,True
5186,Larry Brown,Female,95.0,20.0,78.0,1.0,Low,62.0,0.9,74.0,True
9196,Miss Teresa Hernandez MD,Female,90.0,8.0,78.0,0.0,High,78.0,4.6,70.0,False
7626,Edward Baker,Female,88.0,20.0,60.0,1.0,Medium,68.0,4.0,89.0,False
6928,Diana Gould,Male,70.0,20.0,90.0,0.0,Low,62.0,2.6,75.0,False
6562,Amy Rodriguez,Male,95.0,10.0,85.0,2.0,Low,80.0,2.7,62.0,False
6752,Paul Hull,Male,92.0,20.0,65.0,2.0,High,68.0,3.0,98.0,True
3902,Allison Hamilton,Female,85.0,22.0,86.0,1.0,Low,88.0,3.2,89.0,False
6179,John King,Male,85.0,20.0,77.0,1.0,Low,85.0,4.0,87.0,True
6766,Tristan Avila,Male,88.0,17.0,77.0,2.0,High,90.0,4.2,54.0,True
9307,Connie Cooper,Female,85.0,22.0,70.0,1.0,Medium,88.0,3.3,70.0,False
9214,Judith Santos,Male,85.0,17.0,85.0,2.0,Low,87.0,2.5,61.0,True
5059,Michaela Powell,Female,85.0,12.0,70.0,3.0,High,90.0,-5.0,200.0,False
7697,Lawrence Roberts,Female,91.0,15.0,88.0,2.0,Medium,87.0,2.8,74.0,False
5128,Nicholas Robinson DDS,Male,95.0,20.0,86.0,0.0,Medium,85.0,4.8,94.0,False
3112,Jill Smith,Male,88.0,12.0,60.0,1.0,High,72.0,0.5,92.0,False
9331,Michael Burns,Female,85.0,30.0,82.0,0.0,High,90.0,4.7,81.0,True
4711,Adam Weaver,Male,78.0,20.0,82.0,2.0,Low,72.0,4.2,83.0,True
6517,Melvin Mcgee,Male,91.0,8.0,65.0,0.0,High,88.0,4.0,60.0,False
1715,William Banks,Female,95.0,25.0,77.0,3.0,Medium,78.0,1.2,65.0,False
8684,Dawn Morton,Male,95.0,22.0,78.0,1.0,Medium,80.0,2.5,76.0,True
4271,Frank Dawson,Male,88.0,15.0,77.0,1.0,Low,87.0,3.6,83.0,True
5670,Gregory Davila,Male,78.0,18.0,77.0,2.0,High,62.0,0.5,64.0,False
6727,Rebekah Finley,Male,70.0,15.0,60.0,2.0,Medium,92.0,1.9,55.0,False
4678,Robert Martinez,Male,95.0,20.0,88.0,0.0,High,80.0,1.4,80.0,True
8685,Steven Crawford,Female,91.0,15.0,85.0,1.0,Medium,92.0,4.2,85.0,False
2821,Leslie King,Female,92.0,17.0,85.0,1.0,High,80.0,3.2,89.0,False
2029,George Cannon,Male,85.0,22.0,70.0,1.0,Low,72.0,2.9,95.0,True
5772,Adam Carlson,Female,85.0,22.0,88.0,3.0,High,62.0,0.9,92.0,True
9576,Stephanie Lawrence,Female,90.0,12.0,70.0,2.0,Low,72.0,0.1,80.0,True
7338,Unknown Student,Female,88.0,15.0,88.0,2.0,Medium,92.0,3.7,90.0,True
6447,Adam Blackwell,Male,85.0,30.0,70.0,1.0,Low,68.0,4.2,93.0,False
8840,Andrew Owens,Male,78.0,20.0,77.0,1.0,Medium,92.0,0.2,62.0,True
6170,John Sexton,Female,82.0,8.0,70.0,1.0,Medium,80.0,3.8,76.0,False
4060,Leon Nguyen,Female,85.0,30.0,70.0,2.0,High,62.0,0.4,88.0,True
9937,John White,Female,95.0,20.0,85.0,1.0,Low,85.0,1.5,88.0,False
3730,Justin Martinez,Female,95.0,17.0,78.0,1.0,Low,62.0,1.4,100.0,True
2229,Nathaniel Kemp,Female,88.0,12.0,65.0,1.0,High,88.0,3.4,78.0,True
3068,Jacob Murray,Male,92.0,30.0,88.0,0.0,Low,80.0,3.0,93.0,False
7077,Anthony Green,Female,85.0,20.0,86.0,0.0,Low,90.0,2.0,91.0,False
5089,Trevor Freeman,Male,85.0,17.0,77.0,2.0,Medium,72.0,2.5,99.0,False
8311,Michael Smith,Male,91.0,18.0,77.0,3.0,High,68.0,4.3,78.0,True
8292,William Hogan,Male,95.0,30.0,85.0,2.0,Low,85.0,4.5,60.0,True
6922,Unknown Student,Male,90.0,25.0,65.0,3.0,Medium,80.0,1.8,86.0,False
8657,Unknown Student,Male,91.0,20.0,85.0,2.0,Medium,78.0,2.6,99.0,False
2208,Joshua Juarez,Male,95.0,20.0,77.0,1.0,High,72.0,1.7,99.0,True
3114,Keith Wu,Female,82.0,15.0,85.0,2.0,High,85.0,0.8,70.0,True
6669,Ryan Williams,Female,90.0,18.0,90.0,2.0,High,68.0,3.1,89.0,True
9234,Ronald Stewart,Male,91.0,22.0,65.0,0.0,Low,88.0,3.6,88.0,False
1674,Ronald Schmidt,Male,90.0,15.0,86.0,2.0,Low,92.0,3.8,76.0,True
9159,Courtney Bradley,Female,88.0,17.0,90.0,0.0,Medium,78.0,0.4,53.0,True
8202,Deanna Gonzalez,Female,85.0,17.0,90.0,1.0,Low,68.0,1.6,95.0,False
6658,Darrell Adams,Female,78.0,30.0,70.0,2.0,High,90.0,1.2,57.0,False
8366,Michael Mata,Male,78.0,20.0,78.0,2.0,Medium,88.0,2.1,60.0,True
6123,Anthony Dunn,Male,78.0,17.0,78.0,1.0,Medium,85.0,2.5,55.0,False
5681,Jill Williams,Male,90.0,8.0,65.0,2.0,Low,90.0,3.8,73.0,True
7563,Julia Russell,Male,91.0,12.0,90.0,1.0,Low,85.0,0.4,82.0,False
4261,Tonya Thompson,Female,82.0,15.0,78.0,1.0,High,90.0,4.0,83.0,False
3440,Brandon Williamson,Male,95.0,17.0,88.0,0.0,Medium,80.0,2.5,69.0,False
9311,Joseph Davis,Female,91.0,18.0,78.0,1.0,Medium,90.0,3.4,76.0,False
1436,Elizabeth Andersen,Female,88.0,22.0,86.0,3.0,Low,80.0,2.9,60.0,False
3421,Jeffrey Meyers,Male,85.0,22.0,85.0,3.0,High,78.0,1.6,59.0,False
4340,Christopher Jones,Female,82.0,22.0,77.0,1.0,Low,68.0,2.6,85.0,False
8837,Aimee Rogers,Female,95.0,10.0,77.0,2.0,Medium,72.0,2.5,99.0,False
8932,Alexis Bates,Male,92.0,18.0,70.0,2.0,High,85.0,3.9,95.0,True
9011,Michael Evans,Female,85.0,30.0,70.0,2.0,Medium,87.0,2.5,76.0,False
7464,Omar Gonzalez,Female,78.0,18.0,78.0,2.0,Low,87.0,1.7,78.0,False
8849,Melissa Perry,Male,92.0,12.0,82.0,2.0,Low,85.0,0.7,89.0,True
4972,Dawn Torres,Male,82.0,25.0,90.0,1.0,High,62.0,1.7,80.0,True
3252,Timothy Dean,Male,82.0,17.0,60.0,1.0,Medium,92.0,3.8,68.0,False
5676,Anna Rollins MD,Male,90.0,22.0,90.0,2.0,Low,80.0,4.6,61.0,False
3880,Timothy Barrera,Male,70.0,17.0,65.0,2.0,High,80.0,1.5,76.0,True
6489,Susan Morris,Female,85.0,12.0,70.0,1.0,High,72.0,2.3,62.0,True
6417,Gordon Merritt,Male,85.0,18.0,65.0,2.0,Low,90.0,4.0,86.0,True
3875,Kristy Rhodes,Female,70.0,12.0,88.0,2.0,Medium,87.0,0.9,58.0,False
5285,Ms. Marissa Ramirez,Female,92.0,15.0,85.0,1.0,High,68.0,2.0,82.0,False
2923,Paul Hickman,Male,95.0,22.0,90.0,3.0,High,78.0,0.8,97.0,False
7813,Mrs. Kathy Woodward,Female,82.0,25.0,90.0,3.0,High,72.0,2.2,95.0,False
2279,Alexis Horn,Male,85.0,12.0,70.0,3.0,Low,72.0,0.7,70.0,False
2904,Shannon Harris DDS,Male,91.0,17.0,85.0,2.0,Medium,80.0,2.3,82.0,False
8484,Alicia Ortiz,Male,82.0,17.0,82.0,1.0,Medium,85.0,-5.0,200.0,True
5703,Alexis Walton,Female,78.0,10.0,60.0,1.0,Medium,80.0,4.3,74.0,False
1372,Gina Palmer,Female,85.0,12.0,60.0,2.0,Medium,92.0,1.2,72.0,True
5516,Jean Moreno,Male,90.0,15.0,60.0,3.0,High,80.0,1.0,56.0,True
8314,David Anderson,Male,92.0,15.0,60.0,1.0,High,72.0,1.1,99.0,True
3295,Brian Huffman,Female,92.0,22.0,78.0,3.0,Low,90.0,1.2,59.0,True
7775,Jose Liu,Male,88.0,15.0,70.0,3.0,Low,68.0,3.1,77.0,False
1768,Cathy Pratt,Female,88.0,12.0,88.0,0.0,Medium,68.0,1.5,61.0,False
4948,Kathy Sandoval,Male,88.0,10.0,77.0,1.0,Low,62.0,4.8,85.0,True
7363,Michael Webb,Male,88.0,25.0,88.0,2.0,Medium,90.0,0.5,96.0,True
1844,Ronnie Taylor,Female,70.0,22.0,86.0,1.0,High,92.0,4.0,87.0,True
8854,Matthew Miller,Male,95.0,18.0,78.0,3.0,High,87.0,3.7,98.0,False
4974,Shelly Hurley,Male,70.0,25.0,70.0,1.0,Medium,62.0,2.3,91.0,False
6053,Mr. Martin Dominguez MD,Female,95.0,12.0,77.0,1.0,High,78.0,3.8,70.0,True
7073,Jennifer Wiggins,Female,70.0,17.0,86.0,3.0,Low,68.0,0.1,85.0,False
5836,Anthony Smith,Male,92.0,30.0,90.0,0.0,Low,92.0,2.5,91.0,False
5216,John Lopez,Female,85.0,17.0,65.0,1.0,High,68.0,3.6,81.0,True
9882,Nathan Rodgers,Male,82.0,15.0,85.0,1.0,High,62.0,0.7,90.0,True
2113,Martin Walker,Male,85.0,25.0,70.0,1.0,Medium,80.0,3.1,92.0,False
8993,Jesus Wood,Male,85.0,12.0,70.0,0.0,High,80.0,2.6,67.0,False
1280,Kelly Bell,Female,78.0,20.0,85.0,2.0,High,92.0,1.0,83.0,False
6807,Kathryn Randall,Female,70.0,20.0,88.0,0.0,Medium,88.0,1.2,94.0,True
5914,Sarah Norris,Male,85.0,20.0,60.0,0.0,Medium,72.0,2.4,90.0,True
3807,Matthew Adams,Male,85.0,8.0,78.0,3.0,High,72.0,4.6,64.0,True
8790,William Wade,Female,85.0,20.0,82.0,2.0,Low,80.0,0.9,70.0,True
7288,Teresa Sanders,Male,90.0,12.0,88.0,1.0,High,62.0,1.2,54.0,False
7499,Richard Oneal,Female,85.0,18.0,77.0,1.0,High,90.0,2.8,74.0,False
4043,Christine Cooper,Female,90.0,22.0,82.0,3.0,Low,87.0,0.4,59.0,False
3527,Michael Foster,Female,95.0,30.0,78.0,2.0,High,85.0,-5.0,200.0,False
2674,Loretta Gonzalez,Male,90.0,10.0,60.0,1.0,Low,72.0,2.6,56.0,True
2468,Douglas Ingram,Female,82.0,20.0,86.0,3.0,Medium,62.0,0.1,76.0,False
2387,Randy Anderson,Male,91.0,12.0,65.0,0.0,High,68.0,1.3,67.0,False
3390,Donna Shaw,Male,78.0,8.0,82.0,0.0,Medium,78.0,3.9,73.0,False
5040,Joseph Holt,Female,91.0,22.0,90.0,1.0,High,68.0,2.5,75.0,False
7224,Taylor Acosta,Female,85.0,30.0,60.0,3.0,High,85.0,1.6,94.0,True
8848,Danielle Scott,Female,78.0,8.0,88.0,2.0,Low,78.0,4.8,100.0,True
6339,Melissa Aguirre,Female,88.0,8.0,88.0,2.0,Low,92.0,3.0,84.0,True
1440,Cassandra Snyder,Female,92.0,17.0,82.0,2.0,Medium,80.0,0.7,69.0,True
5139,Kimberly Lambert,Male,70.0,8.0,85.0,1.0,Low,78.0,2.9,84.0,False
9907,Rebecca Mendoza DDS,Male,95.0,12.0,86.0,2.0,High,92.0,3.3,72.0,True
1725,Michael Anderson,Female,95.0,8.0,85.0,1.0,High,85.0,1.1,97.0,True
8303,Hannah Gentry,Female,70.0,17.0,86.0,2.0,High,90.0,5.0,80.0,True
5840,Patrick Reed,Female,90.0,20.0,65.0,1.0,Medium,90.0,2.3,63.0,False
6706,Tiffany Huff,Female,90.0,17.0,77.0,2.0,High,85.0,0.2,95.0,True
1370,Thomas Lee,Female,90.0,10.0,90.0,2.0,High,72.0,0.8,85.0,False
8570,Justin Clark,Male,70.0,10.0,65.0,2.0,Medium,80.0,3.7,62.0,False
8037,Michael Martinez,Female,85.0,25.0,90.0,2.0,Low,87.0,2.9,84.0,True
6993,Vincent Smith,Female,88.0,17.0,85.0,2.0,Low,78.0,2.6,90.0,False
7367,Sean Hull,Female,91.0,20.0,88.0,1.0,Medium,88.0,0.9,93.0,False
2388,Sarah Welch,Male,95.0,20.0,90.0,2.0,High,68.0,1.9,59.0,False
7852,Mr. Stephen Gilmore,Male,91.0,8.0,60.0,0.0,Medium,72.0,3.5,91.0,True
3733,Barry Parker,Female,88.0,10.0,65.0,1.0,Medium,88.0,2.5,72.0,True
8939,Joshua Kane,Male,92.0,8.0,70.0,2.0,Low,78.0,2.0,81.0,False
8272,Anthony Wright,Female,78.0,20.0,86.0,1.0,High,85.0,0.2,64.0,False
3755,Nathaniel Lopez,Female,91.0,17.0,70.0,2.0,High,88.0,0.6,99.0,False
9880,Darlene Fletcher,Male,85.0,12.0,90.0,0.0,High,92.0,1.5,76.0,False
5305,Christopher Moore,Female,90.0,17.0,85.0,3.0,High,88.0,3.4,95.0,False
3719,Benjamin White,Male,92.0,25.0,78.0,3.0,Medium,72.0,2.5,84.0,True
6302,Jenny Coleman,Female,88.0,22.0,82.0,2.0,Low,87.0,0.7,98.0,False
1971,Michael Gomez,Female,78.0,10.0,90.0,0.0,Low,90.0,4.1,98.0,False
9019,Caleb Serrano,Male,91.0,18.0,60.0,0.0,Medium,87.0,3.2,99.0,True
7600,William Carlson,Female,95.0,17.0,77.0,1.0,Low,80.0,4.3,96.0,True
8511,Timothy Pruitt,Female,90.0,12.0,60.0,3.0,Medium,92.0,2.5,70.0,False
6533,Mario Johnston,Male,91.0,17.0,88.0,1.0,High,87.0,3.1,79.0,True
3035,Rebecca Kim,Male,85.0,17.0,78.0,0.0,High,68.0,4.4,76.0,True
5489,Joyce Williams,Male,95.0,18.0,85.0,1.0,Low,68.0,0.3,90.0,False
4836,Cynthia Sloan,Female,90.0,20.0,78.0,2.0,Medium,87.0,0.7,64.0,False
2690,Unknown Student,Female,95.0,18.0,65.0,0.0,High,68.0,0.3,86.0,True
3688,Patricia Williams,Female,95.0,25.0,65.0,0.0,Low,78.0,4.3,55.0,True
3293,Michael Payne,Male,91.0,8.0,88.0,0.0,Medium,68.0,1.2,91.0,True
5065,Brooke Friedman,Female,85.0,18.0,90.0,2.0,Low,72.0,0.9,75.0,False
1894,Daniel Mathis,Male,85.0,8.0,85.0,3.0,Medium,88.0,0.4,50.0,False
6185,Lynn Jennings,Male,70.0,22.0,60.0,1.0,Low,68.0,3.8,99.0,True
1273,Kimberly Randolph,Male,85.0,18.0,90.0,1.0,High,62.0,2.5,90.0,False
7939,Jack Simmons,Female,90.0,12.0,70.0,3.0,High,85.0,0.4,55.0,True
3545,Daniel Mendez,Female,70.0,22.0,85.0,2.0,Low,62.0,3.6,65.0,True
5005,Travis Lawson,Male,70.0,20.0,77.0,3.0,Low,80.0,1.5,97.0,True
2956,Jason Horne DDS,Male,78.0,15.0,65.0,1.0,Medium,72.0,2.5,96.0,False
3735,Shawn Galloway,Female,78.0,18.0,85.0,1.0,Medium,62.0,1.4,54.0,False
2262,Thomas Barnes,Female,85.0,12.0,88.0,1.0,Medium,88.0,0.8,60.0,False
